Event	Latitude	Longitude	Sample label	Date/Time	Depth [m]	Grav ice cont [%]	Grain size mean [µm]	<2 µm [%]	<10 µm [%]	<20 µm [%]	<63 µm [%]	<100 µm [%]	<200 µm [%]	<630 µm [%]	<2000 µm [%]	chi [10**-9 m**3/kg]	TN [%]	TC [%]	TOC [%]	TOC/TN	TIC [%]	δ13C Corg [‰ PDB]	Age dated [ka]	Age e + [ka +]	Age e - [ka -]	Lab label	Comment	Comm 2
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-1	2012-07-08	0.20		60.44	8.89	24.80	38.80	75.10	82.60	92.0	97.8	100	301.8	1.400	21.410	24.960	17.870		-31.20					unfrozen condensed peat	
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-2	2012-07-08	0.30		28.08	12.70	40.70	58.20	90.10	94.10	98.7	100.0	100	142.1	0.350	5.170	4.990	14.150	0.172	-29.42					frozen peat	
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-3	2012-07-08	0.37	30.0	24.17	11.00	34.10	53.20	93.90	98.60	99.9	100.0	100	119.7	0.290	3.850	3.630	12.750	0.218	-29.22						
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-4	2012-07-08	0.46	60.4	24.66	11.50	36.60	53.20	93.20	98.40	99.8	100.0	100	122.2	0.210	2.720	2.800	13.360		-29.15	1.632	0.032	0.032	COL 4680.1.1	silty fine sand	
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-5	2012-07-08	0.56	191.0	53.51	7.42	20.70	32.60	73.40	86.00	95.6	99.4	100	143.7	0.190	2.380	2.500	13.390		-28.72					silty fine sand	
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-6	2012-07-08	0.60		57.53	8.45	22.70	34.80	71.40	82.90	94.2	99.0	100	129.7	0.260	3.850	3.670	14.400	0.177	-28.95						
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-7	2012-07-08	0.70	197.2	32.23	11.90	46.00	65.20	86.60	89.80	96.9	99.9	100	312.5	1.440	25.050	26.810	18.570		-31.40						
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-8	2012-07-08	0.80		52.56	8.73	23.10	38.80	79.70	84.80	93.2	98.5	100	165.1	0.680	11.220	10.930	16.190	0.289	-29.18						
AWI_12Kyt-0807-1	70.8308	147.4837	12Kyt-0807-1-9	2012-07-08	0.91		65.10	9.52	28.20	42.30	71.80	78.30	91.4	97.7	100	410.0	2.140	35.160	36.210	16.960		-29.76	2.144	0.033	0.033	COL 4681.1.1	peaty silt	
AWI_12P-1707-1	69.0950	160.9389	12-P-1707-1-1	2012-07-17	0.54		66.64	12.10	40.70	49.20	65.20	73.70	89.7	100.0	100	166.2	0.936	16.692	14.113	15.072	2.579	-27.71					strong peaty silty fine-sand	
AWI_12P-1707-1	69.0950	160.9389	12-P-1707-1-2	2012-07-17	0.61		71.11	9.50	33.70	42.50	61.30	70.60	90.4	100.0	100	165.7	1.492	25.797	27.459	18.406		-27.46	1.676	0.032	0.032	COL 4674.1.1	strong peaty silty fine-sand	
AWI_12P-1707-1	69.0950	160.9389	12-P-1707-1-3	2012-07-17	0.69	310.0	62.99	11.10	38.80	48.60	66.60	74.50	91.4	100.0	100	130.7	1.105	20.399	13.732	12.422	6.667	-27.55					strong peaty silty fine-sand	
