Sample ID (GFZ-Number)	Depth [m]	TOC [%]	C/N	HI, HC/TOC [mg/g]	OI, CO2/TOC [mg/g]	δ13C Corg [‰ PDB]	Acetate [mg/l] (free acetate)	Acetate [mg/l] (bound acetate)	[NO3]- [mg/l]	[SO4]2- [mg/l]	PL, dry sed [µg/g]	PLFA [µg/g]	Ratio (Ratio of iso-fatty acid and a...)	Ratio (Ratio of saturated and unsatu...)	brGDGT [µg/g]	AR [ng/g]	GDGT-0 [µg/g]	Ratio (Ratio of archaeol and crenarc...)
G013527	0.29	5.60	17.35	331	151	-27.6570	3.7	64.52	0.5	1.4	33.36	96.76	0.53	0.26	0.27534	264.57	0.01077	1.00
G013529	0.70	3.47	12.84	174	175	-27.4835	5.9	46.07	3.0	4.2	1.50	12.10	0.73	0.42	0.01852	17.72	0.00079	1.00
G013531	1.54	2.91	12.00	236	190	-27.3505	23.5	29.17	1.5	1.7	0.67	2.74	0.61	0.47	0.02885	27.35	0.00150	1.00
G013533	1.99	4.00	13.46	225	178	-27.2285	25.2	68.42	0.5	1.4	2.97	10.23	0.64	0.26	0.04436	42.01	0.00235	1.00
G013535	2.29	3.96	12.99	197	195	-27.1825	55.9	46.32	1.7	2.9	3.25	8.62	0.63	0.37	0.03325	30.94	0.00197	0.99
G013537	2.79	4.76	13.51	231	164	-27.2885	80.6	21.88	1.3	14.9	4.44	9.09	0.58	0.08	0.05352	50.14	0.00306	0.99
G013539	3.18	2.87	10.79	182	195	-26.5625	55.0	61.16	0.5	38.4	4.37	7.37	0.63	0.01	0.04332	37.05	0.00331	0.96
G013545	8.70	2.21	10.72	189	197	-26.6685	66.7	41.68	0.5	105.6	2.19	6.90	0.62	0.00	0.06578	44.54	0.00444	0.92
G013547	9.46	1.55	9.75	238	165	-27.7945	95.5	33.00	0.5	25.5	1.86	4.18	0.68	0.02	0.08786	82.27	0.00462	1.00
G013549	10.04	1.89	10.53	287	167	-28.1225	169.0	32.84	2.5	83.4	2.46	9.22	0.67	0.03	0.14147	133.01	0.00696	1.00
G013551	11.20	0.95	7.21	137	232	-26.0770	168.6	25.18	1.4	187.7	4.99	11.98	0.51	0.01	0.03291	27.09	0.00298	0.96
G013553	11.64	2.18	9.80	208	211	-26.6065	153.7	45.02	0.7	0.0	4.59	7.14	0.66	1.00	0.03109	21.00	0.00470	0.88
G013555	12.02	3.07	11.26	217	205	-26.6845	474.8	55.59	2.1	25.1	2.81	8.19	0.67	0.08	0.03944	29.93	0.00535	0.93
G013557	12.67	2.49	10.42	191	231	-25.2990	196.2	73.61	2.0	8.9	3.83	10.78	0.67	0.18	0.02343	8.69	0.00419	0.64
G013559	13.60	2.99	10.61	217	209	-26.8550	318.2	66.54	2.0	4.4	3.94	8.78	0.66	0.31	0.11490	92.25	0.01409	0.96
G013561	14.11	3.51	12.03	249	208	-27.2005	342.2	70.32	2.4	8.8	3.47	8.50	0.63	0.21	0.11350	95.94	0.01209	0.98
G013563	14.59	3.83	12.77	213	208	-26.2765	290.5	74.04	0.0	39.1	4.14	10.24	0.70	0.00	0.02786	13.94	0.00486	0.73
G013565	15.11	3.77	12.75	207	213	-26.1210	256.9	71.44	3.5	9.1	3.84	9.23	0.68	0.28	0.02902	11.86	0.00368	0.60
G013567	16.85	1.37	9.74	104	249	-25.0655	60.8	44.92	1.0	150.9	0.92	9.97	0.68	0.01	0.02261	10.36	0.00332	0.68
G013569	18.10	1.71	9.46	125	208	-25.2115	73.2	40.14	0.0	466.9	2.22	7.05	0.65	0.00	0.03629	11.66	0.00495	0.55
